New Report																											
----------																											
	Ap [µm²]	CIT [%]	E* [MPa]	EIT [MPa]	Epsilon	Er [MPa]	F/S² [µm²/µN]	Fmax [µN]	HIT [kPa]	HVIT [Vickers]	Poisson's ratio (?)	R2	RIT [%]	S [µN/µm]	Welast [pJ]	Wplast [pJ]	Wtotal [pJ]	hc [µm]	hmax [µm]	hp [µm]	hr [µm]	m	nIT [%]	Temperature [°C]	X position [mm]	Y position [mm]	Z position [mm]
	Oliver & Pharr	Oliver & Pharr	Oliver & Pharr	Oliver & Pharr	Oliver & Pharr	Oliver & Pharr	Oliver & Pharr	Oliver & Pharr	Oliver & Pharr	Oliver & Pharr	Oliver & Pharr	Oliver & Pharr	Oliver & Pharr	Oliver & Pharr	Oliver & Pharr	Oliver & Pharr	Oliver & Pharr	Oliver & Pharr	Oliver & Pharr	Oliver & Pharr	Oliver & Pharr	Oliver & Pharr	Oliver & Pharr				
	500um Setting	500um Setting	500um Setting	500um Setting	500um Setting	500um Setting	500um Setting	500um Setting	500um Setting	500um Setting	500um Setting	500um Setting	500um Setting	500um Setting	500um Setting	500um Setting	500um Setting	500um Setting	500um Setting	500um Setting	500um Setting	500um Setting	500um Setting	500um Setting	500um Setting	500um Setting	500um Setting
Measurement 1	105679.2656	29.45429802	0.514240921	0.467959225	0.726999998	0.514240205	0.01400706	498.401001	4.716166496	0.000480751	0.300000012	1.14823246	-5.462551594	188.6322632	1196.632446	6758.034668	7954.666992	34.85352325	36.77438736	-33.92855835	34.13220596	26.75928879	15.04314995	0	11.58846664	40.8996048	7.666798115
Measurement 2	153110.7344	102.7470016	0.554591	0.504677832	0.726999998	0.554590166	0.008279298	496.4249573	3.242260933	0.000330506	0.300000012	1.144930363	-6.791762352	244.8668823	766.258667	16979.07031	17745.32813	51.3761673	52.85003281	-10.65812588	50.82270432	31.32607269	4.318087101	0	11.58846664	41.83960342	8.126750946
Measurement 3	106878.4922	66.25226593	1.235651135	1.124442458	0.726999998	1.235646963	0.002413457	501.4514465	4.691790104	0.000478266	0.300000012	1.52287674	-6.320117474	455.8213501	449.5782166	10151.87012	10601.44824	35.26403046	36.06380844	-19.40147781	34.96370316	50.4181633	4.240724564	0	11.58846664	39.95960617	7.891256809
Measurement 4	77527.02344	83.9822464	1.107059002	1.007423639	0.726999998	1.107055664	0.004122551	498.7329712	6.433022022	0.000655762	0.300000012	1.099971771	-5.364474297	347.8171692	575.590271	8067.399414	8642.989258	25.31864738	26.36108971	-7.859634876	24.9271965	23.86558723	6.659619808	0	11.05346584	40.8996048	7.701110363
Measurement 5	111785.7734	81.55210114	0.788678169	0.717697144	0.726999998	0.7886765	0.005665571	501.5776367	4.486954212	0.000457386	0.300000012	1.186199427	-6.765501976	297.5412903	709.6970825	11560.70313	12270.40039	36.94764328	38.17317581	-17.02944565	36.48743439	32.74679184	5.783813477	0	12.09346676	40.8996048	7.851614952
Measurement 6	95707.04688	77.51851654	0.975322247	0.887543261	0.726999998	0.975319684	0.00429826	498.2424316	5.205912113	0.000530674	0.300000012	1.085494161	-5.844529629	340.4661865	558.00354	9632.618164	10190.62207	31.45384026	32.51774216	-2.530275822	31.05432892	23.9495163	5.475657463	0	11.17346573	41.33960724	7.79583025
Measurement 7	132724.4063	85.29499817	0.608110547	0.553380609	0.726999998	0.608109534	0.008034146	502.0700684	3.782801628	0.000385607	0.300000012	1.204512596	-6.331634045	249.9840393	812.4699707	13964.16016	14776.63086	44.20123672	45.66135025	-25.53374863	43.65294266	35.44851685	5.498344421	0	11.92346764	41.33960724	7.875228882
Measurement 8	62906.94141	88.64363861	1.495399118	1.360813141	0.726999998	1.495393038	0.00279267	500.1946106	7.951342106	0.000810534	0.300000012	1.123933911	-5.030941963	423.2136536	474.6672668	6613.003906	7087.671387	20.44176483	21.30100441	-9.936014175	20.11910629	26.42957878	6.697083473	0	11.21346664	40.289608	7.760873795
Measurement 9	123705.8281	52.53522491	0.650264144	0.59174037	0.726999998	0.650263012	0.007543535	502.4042358	4.061282158	0.000413994	0.300000012	1.282286763	-6.968231678	258.0709839	965.8822632	10731.26172	11697.14453	41.06295013	42.47825241	-32.85282898	40.53148651	38.6954689	8.257418633	0	11.88346672	40.289608	7.832491398
Measurement 10	102248.7188	43.41997528	0.594103277	0.540633977	0.726999998	0.594102323	0.010884175	500.1335449	4.891343117	0.000498608	0.300000012	1.130957007	-5.672715187	214.360733	1034.143188	7973.179688	9007.323242	33.68120193	35.37739563	-24.51548386	33.0442543	25.67050362	11.48113823	0	11.58846664	40.99960709	7.682219982
Measurement 11	93797.22656	60.4299736	0.740208507	0.673589766	0.726999998	0.740207017	0.00760125	497.3835754	5.302753449	0.000540546	0.300000012	1.111356974	-5.832034588	255.80159	821.0600586	8310.523438	9131.583984	30.8055687	32.21915436	-14.96091843	30.27474403	24.26444626	8.991431236	0	11.58846664	41.09960556	7.706915379
Measurement 12	95459.95313	69.10311127	0.875641704	0.796833932	0.726999998	0.875639617	0.005352838	498.8457031	5.225706577	0.000532692	0.300000012	1.142739177	-5.61368084	305.2748718	675.6029663	8850.671875	9526.275391	31.36991692	32.55789948	-15.1232214	30.92380905	29.17905808	7.091995716	0	11.58846664	41.19960785	7.737841129
Measurement 13	101412.4219	79.19317627	0.89189136	0.81162113	0.726999998	0.891889215	0.004909882	504.3060608	4.972823143	0.000506914	0.300000012	1.156545043	-6.577315331	320.4878235	634.5704956	10057.4834	10692.05469	33.39585876	34.53983688	-14.30160522	32.96627808	31.03886604	5.934972763	0	11.58846664	41.29960632	7.775027752
Measurement 14	106160.9609	101.7362518	0.989938974	0.900844455	0.726999998	0.989936292	0.003754021	497.26297	4.684047222	0.000477477	0.300000012	1.195112348	-5.714197159	363.9525146	535.9073486	11551.03809	12086.94531	35.01836777	36.01165771	-12.03627014	34.64537048	35.16683578	4.433769703	0	11.58846664	41.39960861	7.821599484
Measurement 15	118994.9688	96.91883087	0.939102113	0.854582965	0.726999998	0.939099729	0.003768662	503.5578003	4.231757164	0.000431372	0.300000012	1.213317037	-6.37386179	365.5367737	522.3916016	12979.12891	13501.52051	39.43216705	40.43367004	-10.87022495	39.05608749	37.24192429	3.869131327	0	11.58846664	41.49960709	7.879083633
Measurement 16	121308.875	97.54935455	0.78167969	0.711328507	0.726999998	0.781678021	0.005280215	498.3220215	4.107877731	0.000418744	0.300000012	1.188593149	-7.095244885	307.2056885	615.4213257	13229.54492	13844.96582	40.23246384	41.41173935	-14.21287823	39.78962708	34.2914772	4.445090771	0	11.58846664	41.59960556	7.945988178
Measurement 17	122293.625	99.39376068	0.717179775	0.652633548	0.726999998	0.717178404	0.006208642	497.2387085	4.065941334	0.000414469	0.300000012	1.136030793	-7.213262081	282.9985046	663.2058105	13202.18359	13865.38867	40.57347488	41.85084152	-10.59524727	40.09380341	29.84917641	4.783175468	0	11.58846664	41.69960785	8.023807526
Measurement 18	129915.3047	102.4560699	0.64813292	0.589801014	0.726999998	0.648131788	0.007213321	501.2246094	3.858087301	0.000393281	0.300000012	1.135929108	-6.195295811	263.6019287	736.8803711	14256.40723	14993.28809	43.22142029	44.6037674	-12.45461082	42.70232391	30.00790024	4.91473484	0	11.58846664	41.79960632	8.107926369
Measurement 19	82842.14844	33.58784485	0.598840237	0.544944644	0.726999998	0.598839223	0.013139861	497.0187378	5.999587536	0.000611579	0.300000012	1.144225121	-6.478830338	194.4871826	1122.91748	5803.531738	6926.449707	27.1041069	28.96198082	-37.71380234	26.40644646	26.0907383	16.21202278	0	11.58846664	40.79960632	7.666212082
Measurement 20	82133.15625	36.38830948	0.646591842	0.588398576	0.726999998	0.64659071	0.01139457	498.1790466	6.065504551	0.000618298	0.300000012	1.138223767	-6.418326855	209.0950623	1034.242065	5943.383789	6977.625488	26.86555099	28.59766388	-31.85965729	26.21511459	25.37506866	14.82226276	0	11.58846664	40.69960785	7.669852257
Measurement 21	76036.55469	42.2052803	0.683680356	0.62214911	0.726999998	0.683679104	0.011009061	498.1812744	6.551865578	0.000667876	0.300000012	1.127332807	-5.690025806	212.7250214	1023.184326	6062.140625	7085.324707	24.81917763	26.52173996	-31.83905602	24.17983818	24.92024994	14.44089603	0	11.58846664	40.59960938	7.67817688
Measurement 22	78630.29688	34.65629959	0.733496964	0.667482257	0.726999998	0.733495474	0.009257497	498.6416321	6.341596603	0.000646442	0.300000012	1.138036728	-5.885028839	232.0852203	957.8587036	5729.835938	6687.694336	25.68870926	27.25068855	-28.70857048	25.10216141	26.04539299	14.32270432	0	11.58846664	40.49960709	7.696639061
Measurement 23	70593.92188	20.6569252	1.109937787	1.010043263	0.726999998	1.10993433	0.004488772	497.049469	7.040966988	0.000717734	0.300000012	1.137044311	-4.755803108	332.7637634	686.2006836	3958.451416	4644.652344	22.99972916	24.08564949	-15.97621822	22.59194946	26.8205452	14.77399635	0	11.58846664	40.3996048	7.724519253
Measurement 24	109092.2344	20.22084618	0.894669116	0.814148903	0.726999998	0.89466691	0.004514021	501.8689575	4.600409508	0.000468951	0.300000012	1.263195396	-5.836045265	333.436676	745.0118408	6532.17627	7277.187988	36.02277374	37.11701202	-21.93788147	35.61187363	39.23547745	10.23763371	0	11.58846664	40.29960632	7.747704029
Measurement 25	117080.625	31.85611725	0.690133572	0.628021479	0.726999998	0.69013226	0.00705966	501.2375183	4.281130791	0.000436405	0.300000012	1.257000327	-6.207509995	266.4586792	904.5370483	8953.87207	9858.40918	38.77111816	40.13868332	-31.47450829	38.2575798	38.0696907	9.175284386	0	11.58846664	40.19960403	7.772488117
Measurement 26	124514.5469	50.68556213	0.647120059	0.588879228	0.726999998	0.647118926	0.00752034	499.2705688	4.009737015	0.00040874	0.300000012	1.243447304	-7.147467136	257.6613159	922.3668823	10693.85449	11616.22168	41.34349442	42.75220108	-28.34988785	40.81450272	36.69404984	7.94033432	0	11.58846664	40.09960938	7.817547321
