New Report																																																						
----------																																																						
	Ap [µm²]	Ap [µm²]	CIT [%]	CIT [%]	E* [MPa]	E* [MPa]	EIT [MPa]	EIT [MPa]	Epsilon	Epsilon	Er [MPa]	Er [MPa]	F/S² [µm²/µN]	F/S² [µm²/µN]	Fmax [µN]	Fmax [µN]	HIT [kPa]	HIT [kPa]	HVIT [Vickers]	HVIT [Vickers]	Poisson's ratio (?)	Poisson's ratio (?)	R2	R2	RIT [%]	RIT [%]	S [µN/µm]	S [µN/µm]	Welast [pJ]	Welast [pJ]	Wplast [pJ]	Wplast [pJ]	Wtotal [pJ]	Wtotal [pJ]	hc [µm]	hc [µm]	hmax [µm]	hmax [µm]	hp [µm]	hp [µm]	hr [µm]	hr [µm]	m	m	nIT [%]	nIT [%]	Temperature [°C]	Temperature [°C]	X position [mm]	X position [mm]	Y position [mm]	Y position [mm]	Z position [mm]	Z position [mm]
	Oliver & Pharr	Oliver & Pharr	Oliver & Pharr	Oliver & Pharr	Oliver & Pharr	Oliver & Pharr	Oliver & Pharr	Oliver & Pharr	Oliver & Pharr	Oliver & Pharr	Oliver & Pharr	Oliver & Pharr	Oliver & Pharr	Oliver & Pharr	Oliver & Pharr	Oliver & Pharr	Oliver & Pharr	Oliver & Pharr	Oliver & Pharr	Oliver & Pharr	Oliver & Pharr	Oliver & Pharr	Oliver & Pharr	Oliver & Pharr	Oliver & Pharr	Oliver & Pharr	Oliver & Pharr	Oliver & Pharr	Oliver & Pharr	Oliver & Pharr	Oliver & Pharr	Oliver & Pharr	Oliver & Pharr	Oliver & Pharr	Oliver & Pharr	Oliver & Pharr	Oliver & Pharr	Oliver & Pharr	Oliver & Pharr	Oliver & Pharr	Oliver & Pharr	Oliver & Pharr	Oliver & Pharr	Oliver & Pharr	Oliver & Pharr	Oliver & Pharr								
	Calibration	Matrix	Calibration	Matrix	Calibration	Matrix	Calibration	Matrix	Calibration	Matrix	Calibration	Matrix	Calibration	Matrix	Calibration	Matrix	Calibration	Matrix	Calibration	Matrix	Calibration	Matrix	Calibration	Matrix	Calibration	Matrix	Calibration	Matrix	Calibration	Matrix	Calibration	Matrix	Calibration	Matrix	Calibration	Matrix	Calibration	Matrix	Calibration	Matrix	Calibration	Matrix	Calibration	Matrix	Calibration	Matrix	Calibration	Matrix	Calibration	Matrix	Calibration	Matrix	Calibration	Matrix
Measurement 1	0	54026.594	0	73.068	0	1.802	0	1.639	0	0.727	0	1.802	0	0.002	0	501.11	0	9.275	0	0.001	0	0.3	-1	1.129	0	-5.156	0	472.507	0	443.035	0	5105.01	0	5548.045	0	17.504	0	18.275	0	-9.284	0	17.214	0	25.986	0	7.985	0	0	10.866	11.414	38.721	36.92	15.345	8.819
Measurement 2		68752.797		59.741		1.59		1.447		0.727		1.59		0.002		497.976		7.243		0.001		0.3		1.217		-4.96		470.515		463.687		6195.151		6658.839		22.386		23.155		-14.924		22.097		35.98		6.963		0		11.435		37.265		8.785
Measurement 3		221974.375		107.83		0.296		0.269		0.727		0.296		0.02		501.278		2.258		0		0.3		1.119		-9.792		157.402		1260.473		26571.32		27831.793		76.51		78.826		-9.963		75.641		27.88		4.529		0		11.435		38.47		9.212
Measurement 4		106200.414		73.358		1.194		1.086		0.727		1.194		0.003		498.692		4.696		0		0.3		1.45		-6.516		439.035		442.413		10340.767		10783.18		35.032		35.858		-19.215		34.722		48.484		4.103		0		11.435		36.06		9.194
Measurement 5		74108.578		58.495		1.021		0.93		0.727		1.021		0.005		497.292		6.71		0.001		0.3		1.073		-5.419		313.76		629.495		6629.007		7258.502		24.174		25.326		-5.808		23.741		19.644		8.673		0		10.915		37.265		8.811
Measurement 6		92613.641		94.98		1.507		1.371		0.727		1.507		0.002		501.412		5.414		0.001		0.3		1.349		-5.2		517.523		371.669		10149.142		10520.812		30.404		31.109		-11.779		30.14		44.266		3.533		0		11.965		37.265		8.994
Measurement 7		76549.156		82.242		1.015		0.924		0.727		1.015		0.005		499.969		6.531		0.001		0.3		1.063		-6.198		316.873		624.789		7963.222		8588.011		24.991		26.138		-3.087		24.56		18.522		7.275		0		10.985		37.76		8.879
Measurement 8		112444.031		98.698		1.045		0.951		0.727		1.045		0.003		496.507		4.416		0		0.3		1.278		-6.816		395.57		495.291		12162.835		12658.126		37.174		38.086		-12.087		36.831		39.974		3.913		0		11.775		37.76		8.949
