New Report
----------
	Ap [µm²]	CIT [%]	E* [MPa]	EIT [MPa]	Epsilon	Er [MPa]	F/S² [µm²/µN]	Fmax [µN]	HIT [kPa]	HVIT [Vickers]	Poisson's ratio (?)	R2	RIT [%]	S [µN/µm]	Welast [pJ]	Wplast [pJ]	Wtotal [pJ]	hc [µm]	hmax [µm]	hp [µm]	hr [µm]	m	nIT [%]	Temperature [°C]	X position [mm]	Y position [mm]	Z position [mm]
	Oliver & Pharr	Oliver & Pharr	Oliver & Pharr	Oliver & Pharr	Oliver & Pharr	Oliver & Pharr	Oliver & Pharr	Oliver & Pharr	Oliver & Pharr	Oliver & Pharr	Oliver & Pharr	Oliver & Pharr	Oliver & Pharr	Oliver & Pharr	Oliver & Pharr	Oliver & Pharr	Oliver & Pharr	Oliver & Pharr	Oliver & Pharr	Oliver & Pharr	Oliver & Pharr	Oliver & Pharr	Oliver & Pharr
	3rd try - fixedproblem with matrix	3rd try - fixedproblem with matrix	3rd try - fixedproblem with matrix	3rd try - fixedproblem with matrix	3rd try - fixedproblem with matrix	3rd try - fixedproblem with matrix	3rd try - fixedproblem with matrix	3rd try - fixedproblem with matrix	3rd try - fixedproblem with matrix	3rd try - fixedproblem with matrix	3rd try - fixedproblem with matrix	3rd try - fixedproblem with matrix	3rd try - fixedproblem with matrix	3rd try - fixedproblem with matrix	3rd try - fixedproblem with matrix	3rd try - fixedproblem with matrix	3rd try - fixedproblem with matrix	3rd try - fixedproblem with matrix	3rd try - fixedproblem with matrix	3rd try - fixedproblem with matrix	3rd try - fixedproblem with matrix	3rd try - fixedproblem with matrix	3rd try - fixedproblem with matrix	3rd try - fixedproblem with matrix	3rd try - fixedproblem with matrix	3rd try - fixedproblem with matrix	3rd try - fixedproblem with matrix
Min	2664.629	31.777	0.520	0.473	0.727	0.520	0.001	490.875	24.907	0.003	0.300	0.999	-8.504	82.361	231.322	3127.003	3358.325	9.357	9.987	-64.879	9.121	4.448	3.172	0.000	11.006	44.985	6.681
Max	20191.752	87.249	13.206	12.017	0.727	13.205	0.074	509.451	188.334	0.019	0.300	2.100	-3.876	822.820	2484.918	17654.596	19821.129	59.459	63.236	9.123	58.041	64.524	16.202	0.000	11.971	47.144	7.110
Mean	9792.110	58.666	2.498	2.273	0.727	2.498	0.017	501.587	60.153	0.006	0.300	1.184	-6.761	243.609	1123.901	9553.480	10677.382	34.167	36.083	-34.341	33.448	28.785	10.691	0.000	11.602	46.112	6.824
Std dev	3633.403	12.715	2.126	1.934	0.000	2.126	0.014	4.521	29.286	0.003	0.000	0.160	0.916	139.505	475.718	3318.391	3636.729	10.374	10.966	15.501	10.163	9.366	3.054	0.000	0.195	0.599	0.110
Median	10777.082	59.802	1.784	1.623	0.727	1.784	0.014	497.658	53.656	0.005	0.300	1.120	-6.859	194.909	1092.744	10960.502	12053.245	37.849	39.697	-39.137	37.155	24.432	11.293	0.000	11.488	46.214	6.682
N	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	0	102	102	102
Measurement 1	7684.979	51.805	1.668	1.518	0.727	1.668	0.019	505.592	65.790	0.007	0.300	1.114	-6.459	165.042	1279.237	7886.358	9165.595	28.748	30.976	-43.359	27.912	24.265	13.957	0.000	11.788	46.064	6.710
Measurement 2	7905.196	42.767	1.963	1.786	0.727	1.963	0.013	503.495	63.692	0.006	0.300	1.154	-6.140	196.940	1102.707	7330.342	8433.048	29.452	31.311	-39.127	28.754	27.551	13.076	0.000	11.488	46.064	6.687
